bin	mq	FP	total	TP	TP_sum	FP_sum	total_sum	FPR	TPR	mode	population	prog	replication
(50,60]	59.9919342276844	8	9848034	9848026	9848026	8	9848034	8e-05	98.48026	pe	GBR	vg	005
(40,50]	44.9884545038866	4	17496	17492	9865518	12	9865530	0.00012	98.65518	pe	GBR	vg	005
(30,40]	35.8464400893079	17	16124	16107	9881625	29	9881654	0.00029	98.81625	pe	GBR	vg	005
(20,30]	25.6970159985619	21	22252	22231	9903856	50	9903906	5e-04	99.03856	pe	GBR	vg	005
(10,20]	14.8404330223552	118	22724	22606	9926462	168	9926630	0.00168	99.26462	pe	GBR	vg	005
[0,10]	1.54103857162328	31659	73370	41711	9968173	31827	10000000	0.31827	99.68173	pe	GBR	vg	005
(50,60]	59.9921600082037	22	9849245	9849223	9849223	22	9849245	0.00022	98.49223	pe	JPT	vg	003
(40,50]	45.0795044503248	8	16628	16620	9865843	30	9865873	3e-04	98.65843	pe	JPT	vg	003
(30,40]	35.8073806258571	10	16042	16032	9881875	40	9881915	4e-04	98.81875	pe	JPT	vg	003
(20,30]	25.6058217644425	20	22330	22310	9904185	60	9904245	6e-04	99.04185	pe	JPT	vg	003
(10,20]	14.9001301518438	78	23050	22972	9927157	138	9927295	0.00138	99.27157	pe	JPT	vg	003
[0,10]	1.57224399972492	31045	72705	41660	9968817	31183	10000000	0.31183	99.68817	pe	JPT	vg	003
(50,60]	59.9920391680407	11	9847212	9847201	9847201	11	9847212	0.00011	98.47201	pe	STU	vg	010
(40,50]	44.9920421299005	6	17090	17084	9864285	17	9864302	0.00017	98.64285	pe	STU	vg	010
(30,40]	35.8662219526986	4	16490	16486	9880771	21	9880792	0.00021	98.80771	pe	STU	vg	010
(20,30]	25.7365185315299	27	22772	22745	9903516	48	9903564	0.00048	99.03516	pe	STU	vg	010
(10,20]	14.8390862944162	213	23640	23427	9926943	261	9927204	0.00261	99.26943	pe	STU	vg	010
[0,10]	1.50076927303698	31920	72796	40876	9967819	32181	10000000	0.32181	99.67819	pe	STU	vg	010
(50,60]	59.9918140728431	8	9845189	9845181	9845181	8	9845189	8e-05	98.45181	pe	YRI	vg	020
(40,50]	44.9133949191686	17	17320	17303	9862484	25	9862509	0.00025	98.62484	pe	YRI	vg	020
(30,40]	35.8659670880038	14	16772	16758	9879242	39	9879281	0.00039	98.79242	pe	YRI	vg	020
(20,30]	25.6756405817175	54	23104	23050	9902292	93	9902385	0.00093	99.02292	pe	YRI	vg	020
(10,20]	14.7570541994208	500	24170	23670	9925962	593	9926555	0.00593	99.25962	pe	YRI	vg	020
[0,10]	1.53140445231125	31826	73445	41619	9967581	32419	10000000	0.32419	99.67581	pe	YRI	vg	020
(50,60]	59.9850126002084	20	9725236	9725216	9725216	20	9725236	2e-04	97.25216	se	GBR	vg	005
(40,50]	44.6165610123085	20	40541	40521	9765737	40	9765777	4e-04	97.65737	se	GBR	vg	005
(30,40]	35.6777173317755	37	27389	27352	9793089	77	9793166	0.00077	97.93089	se	GBR	vg	005
(20,30]	26.4320327102804	74	42800	42726	9835815	151	9835966	0.00151	98.35815	se	GBR	vg	005
(10,20]	14.4710586180749	409	43519	43110	9878925	560	9879485	0.0056	98.78925	se	GBR	vg	005
[0,10]	1.3647180848857	61433	120515	59082	9938007	61993	10000000	0.61993	99.38007	se	GBR	vg	005
(50,60]	59.9848344374946	25	9726840	9726815	9726815	25	9726840	0.00025	97.26815	se	JPT	vg	002
(40,50]	44.5842438756673	25	40086	40061	9766876	50	9766926	5e-04	97.66876	se	JPT	vg	002
(30,40]	35.6528729765203	48	27428	27380	9794256	98	9794354	0.00098	97.94256	se	JPT	vg	002
(20,30]	26.308293255132	66	42625	42559	9836815	164	9836979	0.00164	98.36815	se	JPT	vg	002
(10,20]	14.5067303213787	278	42940	42662	9879477	442	9879919	0.00442	98.79477	se	JPT	vg	002
[0,10]	1.38374930255411	60396	120081	59685	9939162	60838	10000000	0.60838	99.39162	se	JPT	vg	002
(50,60]	59.9852278437195	21	9723902	9723881	9723881	21	9723902	0.00021	97.23881	se	STU	vg	007
(40,50]	44.6129421024153	21	40658	40637	9764518	42	9764560	0.00042	97.64518	se	STU	vg	007
(30,40]	35.6847957280275	65	27341	27276	9791794	107	9791901	0.00107	97.91794	se	STU	vg	007
(20,30]	26.4126644512223	114	43934	43820	9835614	221	9835835	0.00221	98.35614	se	STU	vg	007
(10,20]	14.49381621425	612	43986	43374	9878988	833	9879821	0.00833	98.78988	se	STU	vg	007
[0,10]	1.36325813994125	61209	120179	58970	9937958	62042	10000000	0.62042	99.37958	se	STU	vg	007
(50,60]	59.9845422181374	42	9718406	9718364	9718364	42	9718406	0.00042	97.18364	se	YRI	vg	010
(40,50]	44.5089982520495	23	40619	40596	9758960	65	9759025	0.00065	97.5896	se	YRI	vg	010
(30,40]	35.7242517840026	75	28167	28092	9787052	140	9787192	0.0014	97.87052	se	YRI	vg	010
(20,30]	26.3311416616856	140	45171	45031	9832083	280	9832363	0.0028	98.32083	se	YRI	vg	010
(10,20]	14.3789084140315	1325	45127	43802	9875885	1605	9877490	0.01605	98.75885	se	YRI	vg	010
[0,10]	1.36976573340952	63000	122510	59510	9935395	64605	10000000	0.64605	99.35395	se	YRI	vg	010
