afcor humpop secor2 pecor2
0 GBR 0.6243575 0.32092
0 JPT 0.61012 0.31217
0 STU 0.627735 0.32384
0 YRI 0.661435 0.3322025
0.01 GBR 0.6244675 0.320915
0.01 JPT 0.60859 0.3121525
0.01 STU 0.624435 0.32231
0.01 YRI 0.66143 0.3312125
0.02 GBR 0.6219475 0.3184375
0.02 JPT 0.60838 0.311933333333333
0.02 STU 0.6236 0.32316
0.02 YRI 0.658123333333333 0.331656666666667
0.03 GBR 0.621326666666667 0.319626666666667
0.03 JPT 0.6084 0.311883333333333
0.03 STU 0.62251 0.321906666666667
0.03 YRI 0.657396666666667 0.330066666666667
0.04 GBR 0.6207 0.31918
0.04 JPT 0.60856 0.31211
0.04 STU 0.62254 0.323333333333333
0.04 YRI 0.655446666666667 0.330146666666667
0.05 GBR 0.619526666666667 0.31761
0.05 JPT 0.60859 0.312176666666667
0.05 STU 0.62221 0.32248
0.05 YRI 0.65202 0.329006666666667
0.06 GBR 0.621233333333333 0.318893333333333
0.06 JPT 0.60864 0.31243
0.06 STU 0.621826666666667 0.323073333333333
0.06 YRI 0.651226666666667 0.327843333333333
0.07 GBR 0.620793333333333 0.31951
0.07 JPT 0.60868 0.312626666666667
0.07 STU 0.620596666666667 0.3224
0.07 YRI 0.650473333333333 0.328753333333333
0.08 GBR 0.620596666666667 0.319886666666667
0.08 JPT 0.60887 0.312706666666667
0.08 STU 0.622363333333333 0.32204
0.08 YRI 0.64984 0.328623333333333
0.09 GBR 0.620483333333333 0.319213333333333
0.09 JPT 0.60916 0.312513333333333
0.09 STU 0.621653333333333 0.32164
0.09 YRI 0.648806666666667 0.326126666666667
0.1 GBR 0.621496666666667 0.319606666666667
0.1 JPT 0.6094 0.31259
0.1 STU 0.622466666666667 0.321423333333333
0.1 YRI 0.646503333333333 0.326133333333333
0.2 GBR 0.627276666666667 0.321213333333333
0.2 JPT 0.61465 0.31576
0.2 STU 0.626353333333333 0.323986666666667
0.2 YRI 0.648933333333333 0.325963333333333
0.3 GBR 0.63568 0.32331
0.3 JPT 0.62118 0.31741
0.3 STU 0.63216 0.324796666666667
0.3 YRI 0.654466666666667 0.3283
0.4 GBR 0.64261 0.326903333333333
0.4 JPT 0.63101 0.322086666666667
0.4 STU 0.64069 0.32743
0.4 YRI 0.662253333333333 0.331133333333333
0.5 GBR 0.65085 0.328646666666667
0.5 JPT 0.640483333333333 0.325993333333333
0.5 STU 0.648576666666667 0.3304
0.5 YRI 0.67031 0.332573333333333
0.6 GBR 0.65978 0.331633333333333
0.6 JPT 0.64859 0.32949
0.6 STU 0.658686666666667 0.3343
0.6 YRI 0.68071 0.33825
0.7 GBR 0.66804 0.333306666666667
0.7 JPT 0.65847 0.33384
0.7 STU 0.668406666666667 0.33685
0.7 YRI 0.689213333333333 0.342603333333333
0.8 GBR 0.67692 0.33487
0.8 JPT 0.66601 0.337076666666667
0.8 STU 0.67682 0.340536666666667
0.8 YRI 0.697216666666667 0.34327
0.9 GBR 0.683613333333333 0.33731
0.9 JPT 0.672326666666667 0.33792
0.9 STU 0.68382 0.341776666666667
0.9 YRI 0.703446666666667 0.34423
1 GBR 0.688176666666667 0.3406
1 JPT 0.683113333333333 0.34285
1 STU 0.6892 0.345353333333333
1 YRI 0.709526666666667 0.347916666666667
