af	population	secor	pecor	maptype	totvar
0.01	GBR	63573	32331	random	203890
0.01	JPT	62864	31947	random	203890
0.01	STU	64646	32969	random	203890
0.01	YRI	67845	33488	random	203890
0.02	GBR	64172	32661	random	182713
0.02	JPT	63430	32073	random	182713
0.02	STU	64987	32963	random	182713
0.02	YRI	68012	33940	random	182713
0.03	GBR	64608	32678	random	170708
0.03	JPT	63677	32323	random	170708
0.03	STU	65147	33092	random	170708
0.03	YRI	68300	33882	random	170708
0.04	GBR	64652	32804	random	162234
0.04	JPT	63938	32345	random	162234
0.04	STU	65505	33360	random	162234
0.04	YRI	68219	33831	random	162234
0.05	GBR	64832	32841	random	155867
0.05	JPT	64013	32386	random	155867
0.05	STU	65318	33035	random	155867
0.05	YRI	68464	33929	random	155867
0.06	GBR	64638	32618	random	150540
0.06	JPT	64304	32534	random	150540
0.06	STU	65567	33325	random	150540
0.06	YRI	68441	34045	random	150540
0.07	GBR	65001	32801	random	145404
0.07	JPT	64407	32390	random	145404
0.07	STU	65981	33206	random	145404
0.07	YRI	68837	34108	random	145404
0.08	GBR	65102	32784	random	141208
0.08	JPT	64349	32501	random	141208
0.08	STU	65849	33361	random	141208
0.08	YRI	68668	33905	random	141208
0.09	GBR	65215	32917	random	137286
0.09	JPT	64671	32648	random	137286
0.09	STU	65944	33413	random	137286
0.09	YRI	68769	34160	random	137286
0.1	GBR	65199	33089	random	133891
0.1	JPT	64685	32914	random	133891
0.1	STU	66013	33369	random	133891
0.1	YRI	68752	33979	random	133891
0.2	GBR	66145	33334	random	102298
0.2	JPT	65794	33127	random	102298
0.2	STU	66648	33661	random	102298
0.2	YRI	69223	34277	random	102298
0.3	GBR	66813	33500	random	78115
0.3	JPT	66234	33111	random	78115
0.3	STU	67238	33670	random	78115
0.3	YRI	69567	34352	random	78115
0.4	GBR	67463	33680	random	60014
0.4	JPT	66526	33422	random	60014
0.4	STU	67755	34137	random	60014
0.4	YRI	70079	34353	random	60014
0.5	GBR	67546	33668	random	46293
