bin	mq	FP	total	TP	TP_sum	FP_sum	total_sum	FPR	TPR	mode	breeds	prog	replication
(50,60]	59.9941130355937	32	9936870	9936838	9936838	32	9936870	0.00032	99.36838	pe	BSW	vg	10
(40,50]	46.1669403393541	14	10962	10948	9947786	46	9947832	0.00046	99.47786	pe	BSW	vg	10
(30,40]	35.7588071440275	16	12206	12190	9959976	62	9960038	0.00062	99.59976	pe	BSW	vg	10
(20,30]	24.9212145266918	36	10078	10042	9970018	98	9970116	0.00098	99.70018	pe	BSW	vg	10
(10,20]	16.3889142335766	30	8768	8738	9978756	128	9978884	0.00128	99.78756	pe	BSW	vg	10
[0,10]	2.12208751657511	7187	21116	13929	9992685	7315	10000000	0.07315	99.92685	pe	BSW	vg	10
(50,60]	59.978413489807	45	9719635	9719590	9719590	45	9719635	0.00045	97.1959	se	BSW	vg	10
(40,50]	45.1010746298222	30	40386	40356	9759946	75	9760021	0.00075	97.59946	se	BSW	vg	10
(30,40]	35.9808253180267	40	48345	48305	9808251	115	9808366	0.00115	98.08251	se	BSW	vg	10
(20,30]	24.9627157245794	98	50933	50835	9859086	213	9859299	0.00213	98.59086	se	BSW	vg	10
(10,20]	15.9049794426679	257	41591	41334	9900420	470	9900890	0.0047	99.0042	se	BSW	vg	10
[0,10]	2.76114418323075	31255	99110	67855	9968275	31725	10000000	0.31725	99.68275	se	BSW	vg	10
(50,60]	59.9941140573475	32	9936896	9936864	9936864	32	9936896	0.00032	99.36864	pe	BSW	vg	1
(40,50]	46.1678858814923	14	10936	10922	9947786	46	9947832	0.00046	99.47786	pe	BSW	vg	1
(30,40]	35.7540740740741	16	12150	12134	9959920	62	9959982	0.00062	99.5992	pe	BSW	vg	1
(20,30]	24.9096480822459	36	10116	10080	9970000	98	9970098	0.00098	99.7	pe	BSW	vg	1
(10,20]	16.3825472772841	30	8778	8748	9978748	128	9978876	0.00128	99.78748	pe	BSW	vg	1
[0,10]	2.12431357697406	7182	21124	13942	9992690	7310	10000000	0.0731	99.9269	pe	BSW	vg	1
(50,60]	59.978413489807	45	9719635	9719590	9719590	45	9719635	0.00045	97.1959	se	BSW	vg	1
(40,50]	45.1010746298222	30	40386	40356	9759946	75	9760021	0.00075	97.59946	se	BSW	vg	1
(30,40]	35.9808253180267	40	48345	48305	9808251	115	9808366	0.00115	98.08251	se	BSW	vg	1
(20,30]	24.9627157245794	98	50933	50835	9859086	213	9859299	0.00213	98.59086	se	BSW	vg	1
(10,20]	15.9049794426679	257	41591	41334	9900420	470	9900890	0.0047	99.0042	se	BSW	vg	1
[0,10]	2.76114418323075	31255	99110	67855	9968275	31725	10000000	0.31725	99.68275	se	BSW	vg	1
(50,60]	59.9940999874408	32	9936928	9936896	9936896	32	9936928	0.00032	99.36896	pe	BSW	vg	2
(40,50]	46.1650556264819	14	10966	10952	9947848	46	9947894	0.00046	99.47848	pe	BSW	vg	2
(30,40]	35.7541844437151	16	12188	12172	9960020	62	9960082	0.00062	99.6002	pe	BSW	vg	2
(20,30]	24.9244532803181	36	10060	10024	9970044	98	9970142	0.00098	99.70044	pe	BSW	vg	2
(10,20]	16.3811700182815	30	8752	8722	9978766	128	9978894	0.00128	99.78766	pe	BSW	vg	2
[0,10]	2.12138728323699	7177	21106	13929	9992695	7305	10000000	0.07305	99.92695	pe	BSW	vg	2
(50,60]	59.978413489807	45	9719635	9719590	9719590	45	9719635	0.00045	97.1959	se	BSW	vg	2
