bin	ident	mq	FP	total	TP	FP_sum	TP_sum	total_sum	PPV	FPR	TPR	mode	breeds	prog	replication
(50,60]	novel	59.9946601173054	16	1907158	1907142	16	1907142	1907158	99.9991610553504	0.000835149348192032	99.546774888103	pe	BSW	vg	10
(40,50]	novel	46.0771591407278	4	2281	2277	20	1909419	1909439	99.9989525719334	0.00104393668524004	99.6656270797176	pe	BSW	vg	10
(30,40]	novel	35.5112219451372	1	2005	2004	21	1911423	1911444	99.9989013541595	0.00109613351950204	99.7702295355787	pe	BSW	vg	10
(20,30]	novel	25.5777777777778	13	1665	1652	34	1913075	1913109	99.9982227881422	0.00177469236490807	99.8564587057795	pe	BSW	vg	10
(10,20]	novel	15.8620209059233	4	1435	1431	38	1914506	1914544	99.9980151931739	0.00198347970195608	99.9311523756084	pe	BSW	vg	10
[0,10]	novel	3.90007806401249	187	1281	1094	225	1915600	1915825	99.988255712291	0.0117442877089505	99.988255712291	pe	BSW	vg	10
(50,60]	ref	59.9939830967786	16	8029712	8029696	16	8029696	8029712	99.9998007400515	0.000197917536421465	99.3261031583309	pe	BSW	vg	10
(40,50]	ref	46.1905310448105	10	8681	8671	26	8038367	8038393	99.9996765522661	0.000321615996684881	99.4333620932253	pe	BSW	vg	10
(30,40]	ref	35.8074698558965	15	10201	10186	41	8048553	8048594	99.9994905942578	0.000507163687080005	99.5593613448497	pe	BSW	vg	10
(20,30]	ref	24.791275407108	23	8413	8390	64	8056943	8057007	99.999205660365	0.000791670145685862	99.6631443530107	pe	BSW	vg	10
(10,20]	ref	16.4920223646529	26	7333	7307	90	8064250	8064340	99.998883975626	0.00111328614237074	99.7535308179251	pe	BSW	vg	10
[0,10]	ref	2.00725989412654	7000	19835	12835	7090	8077085	8084175	99.9122977916732	0.0877022083267619	99.9122977916732	pe	BSW	vg	10
(50,60]	novel	59.9732738450616	22	1859190	1859168	22	1859168	1859190	99.9988166889882	0.00114833035376404	97.0426839612177	se	BSW	vg	10
(40,50]	novel	45.4000829187396	10	9648	9638	32	1868806	1868838	99.9982877060505	0.00167029869638406	97.5457570498349	se	BSW	vg	10
(30,40]	novel	35.7209906477312	10	11548	11538	42	1880344	1880386	99.9977664160444	0.00219226703900408	98.1480041235499	se	BSW	vg	10
(20,30]	novel	25.0381289308176	32	10176	10144	74	1890488	1890562	99.9960858199837	0.00386256573538815	98.6774888103037	se	BSW	vg	10
(10,20]	novel	16.0331474271283	92	9503	9411	166	1899899	1900065	99.9912634567765	0.00866467448749233	99.1687132175434	se	BSW	vg	10
[0,10]	novel	3.25450507614213	4168	15760	11592	4334	1911491	1915825	99.7737789203085	0.226221079691517	99.7737789203085	se	BSW	vg	10
(50,60]	ref	59.9796291431338	23	7860445	7860422	23	7860422	7860445	99.9997073957009	0.000284506458605856	97.232209842068	se	BSW	vg	10
(40,50]	ref	45.0072223306656	20	30738	30718	43	7891140	7891183	99.9994550880394	0.000531903379132688	97.6121867723052	se	BSW	vg	10
(30,40]	ref	36.0623692148816	30	36797	36767	73	7927907	7927980	99.9990792105934	0.000902998759922936	98.0669889011557	se	BSW	vg	10
(20,30]	ref	24.9438869396668	66	40757	40691	139	7968598	7968737	99.9982556834289	0.00171940859766148	98.5703303058135	se	BSW	vg	10
(10,20]	ref	15.8670219396659	165	32088	31923	304	8000521	8000825	99.9962003918346	0.00376043319200784	98.9652129005124	se	BSW	vg	10
[0,10]	ref	2.66785842831434	27087	83350	56263	27391	8056784	8084175	99.6611775474925	0.338822452507522	99.6611775474925	se	BSW	vg	10
(50,60]	novel	59.9946632913304	16	1907168	1907152	16	1907152	1907168	99.9991610597493	0.000835149348192032	99.5472968564457	pe	BSW	vg	1
(40,50]	novel	46.087417218543	5	2265	2260	21	1909412	1909433	99.9989001970742	0.00109613351950204	99.6652617018778	pe	BSW	vg	1
(30,40]	novel	35.4957350727546	1	1993	1992	22	1911404	1911426	99.9988490268522	0.00114833035376404	99.7692377957277	pe	BSW	vg	1
(20,30]	novel	25.5812425328554	13	1674	1661	35	1913065	1913100	99.9981705085986	0.00182688919917007	99.8559367374369	pe	BSW	vg	1
(10,20]	novel	15.8254847645429	4	1444	1440	39	1914505	1914544	99.9979629614154	0.00203567653621808	99.9311001787742	pe	BSW	vg	1
[0,10]	novel	3.92740046838408	187	1281	1094	226	1915599	1915825	99.9882035154568	0.0117964845432125	99.9882035154568	pe	BSW	vg	1
(50,60]	ref	59.9939836069167	16	8029728	8029712	16	8029712	8029728	99.9998007404485	0.000197917536421465	99.3263010758674	pe	BSW	vg	1
(40,50]	ref	46.1889055472264	9	8671	8662	25	8038374	8038399	99.9996889927957	0.00030924615065854	99.4334486821475	pe	BSW	vg	1
(30,40]	ref	35.8047651865708	15	10157	10142	40	8048516	8048556	99.9995030164417	0.000494793841053663	99.5589036605467	pe	BSW	vg	1
(20,30]	ref	24.7764747690121	23	8442	8419	63	8056935	8056998	99.9992180710483	0.00077930029965952	99.6630453942425	pe	BSW	vg	1
(10,20]	ref	16.4922279792746	26	7334	7308	89	8064243	8064332	99.998896374802	0.0011009162963444	99.753444229003	pe	BSW	vg	1
[0,10]	ref	2.007912110064	6995	19843	12848	7084	8077091	8084175	99.9123720107494	0.0876279892506038	99.9123720107494	pe	BSW	vg	1
(50,60]	novel	59.9732738450616	22	1859190	1859168	22	1859168	1859190	99.9988166889882	0.00114833035376404	97.0426839612177	se	BSW	vg	1
(40,50]	novel	45.4000829187396	10	9648	9638	32	1868806	1868838	99.9982877060505	0.00167029869638406	97.5457570498349	se	BSW	vg	1
(30,40]	novel	35.7209906477312	10	11548	11538	42	1880344	1880386	99.9977664160444	0.00219226703900408	98.1480041235499	se	BSW	vg	1
(20,30]	novel	25.0381289308176	32	10176	10144	74	1890488	1890562	99.9960858199837	0.00386256573538815	98.6774888103037	se	BSW	vg	1
(10,20]	novel	16.0331474271283	92	9503	9411	166	1899899	1900065	99.9912634567765	0.00866467448749233	99.1687132175434	se	BSW	vg	1
[0,10]	novel	3.25450507614213	4168	15760	11592	4334	1911491	1915825	99.7737789203085	0.226221079691517	99.7737789203085	se	BSW	vg	1
(50,60]	ref	59.9796291431338	23	7860445	7860422	23	7860422	7860445	99.9997073957009	0.000284506458605856	97.232209842068	se	BSW	vg	1
(40,50]	ref	45.0072223306656	20	30738	30718	43	7891140	7891183	99.9994550880394	0.000531903379132688	97.6121867723052	se	BSW	vg	1
(30,40]	ref	36.0623692148816	30	36797	36767	73	7927907	7927980	99.9990792105934	0.000902998759922936	98.0669889011557	se	BSW	vg	1
(20,30]	ref	24.9438869396668	66	40757	40691	139	7968598	7968737	99.9982556834289	0.00171940859766148	98.5703303058135	se	BSW	vg	1
(10,20]	ref	15.8670219396659	165	32088	31923	304	8000521	8000825	99.9962003918346	0.00376043319200784	98.9652129005124	se	BSW	vg	1
[0,10]	ref	2.66785842831434	27087	83350	56263	27391	8056784	8084175	99.6611775474925	0.338822452507522	99.6611775474925	se	BSW	vg	1
(50,60]	novel	59.9946622650453	16	1907176	1907160	16	1907160	1907176	99.9991610632684	0.000835149348192032	99.5477144311198	pe	BSW	vg	2
(40,50]	novel	46.0820175438596	5	2280	2275	21	1909435	1909456	99.9989002103217	0.00109613351950204	99.6664622290658	pe	BSW	vg	2
(30,40]	novel	35.5015015015015	1	1998	1997	22	1911432	1911454	99.9988490437123	0.00114833035376404	99.770699307087	pe	BSW	vg	2
(20,30]	novel	25.5929043896572	13	1663	1650	35	1913082	1913117	99.9981705248555	0.00182688919917007	99.8568240836193	pe	BSW	vg	2
(10,20]	novel	15.8339148639218	4	1433	1429	39	1914511	1914550	99.9979629677992	0.00203567653621808	99.9314133597797	pe	BSW	vg	2
[0,10]	novel	3.91450980392157	185	1275	1090	224	1915601	1915825	99.9883079091253	0.0116920908746885	99.9883079091253	pe	BSW	vg	2
(50,60]	ref	59.993966438814	16	8029752	8029736	16	8029736	8029752	99.9998007410441	0.000197917536421465	99.326597952172	pe	BSW	vg	2
(40,50]	ref	46.1868524061708	9	8686	8677	25	8038413	8038438	99.9996889943046	0.00030924615065854	99.4339311061426	pe	BSW	vg	2
(30,40]	ref	35.8037291462218	15	10190	10175	40	8048588	8048628	99.9995030208875	0.000494793841053663	99.5597942894606	pe	BSW	vg	2
(20,30]	ref	24.7920685959271	23	8397	8374	63	8056962	8057025	99.9992180736686	0.00077930029965952	99.6633793800852	pe	BSW	vg	2
(10,20]	ref	16.4883180762399	26	7319	7293	89	8064255	8064344	99.9988963764443	0.0011009162963444	99.7535926671553	pe	BSW	vg	2
[0,10]	ref	2.00610155816651	6992	19831	12839	7081	8077094	8084175	99.9124091202875	0.0875908797125248	99.9124091202875	pe	BSW	vg	2
(50,60]	novel	59.9732738450616	22	1859190	1859168	22	1859168	1859190	99.9988166889882	0.00114833035376404	97.0426839612177	se	BSW	vg	2
(40,50]	novel	45.4000829187396	10	9648	9638	32	1868806	1868838	99.9982877060505	0.00167029869638406	97.5457570498349	se	BSW	vg	2
(30,40]	novel	35.7209906477312	10	11548	11538	42	1880344	1880386	99.9977664160444	0.00219226703900408	98.1480041235499	se	BSW	vg	2
(20,30]	novel	25.0381289308176	32	10176	10144	74	1890488	1890562	99.9960858199837	0.00386256573538815	98.6774888103037	se	BSW	vg	2
(10,20]	novel	16.0331474271283	92	9503	9411	166	1899899	1900065	99.9912634567765	0.00866467448749233	99.1687132175434	se	BSW	vg	2
[0,10]	novel	3.25450507614213	4168	15760	11592	4334	1911491	1915825	99.7737789203085	0.226221079691517	99.7737789203085	se	BSW	vg	2
(50,60]	ref	59.9796291431338	23	7860445	7860422	23	7860422	7860445	99.9997073957009	0.000284506458605856	97.232209842068	se	BSW	vg	2
(40,50]	ref	45.0072223306656	20	30738	30718	43	7891140	7891183	99.9994550880394	0.000531903379132688	97.6121867723052	se	BSW	vg	2
(30,40]	ref	36.0623692148816	30	36797	36767	73	7927907	7927980	99.9990792105934	0.000902998759922936	98.0669889011557	se	BSW	vg	2
(20,30]	ref	24.9438869396668	66	40757	40691	139	7968598	7968737	99.9982556834289	0.00171940859766148	98.5703303058135	se	BSW	vg	2
(10,20]	ref	15.8670219396659	165	32088	31923	304	8000521	8000825	99.9962003918346	0.00376043319200784	98.9652129005124	se	BSW	vg	2
[0,10]	ref	2.66785842831434	27087	83350	56263	27391	8056784	8084175	99.6611775474925	0.338822452507522	99.6611775474925	se	BSW	vg	2
(50,60]	novel	59.9946586227038	16	1907186	1907170	16	1907170	1907186	99.9991610676672	0.000835149348192032	99.5482363994624	pe	BSW	vg	3
(40,50]	novel	46.0832602979842	5	2282	2277	21	1909447	1909468	99.9989002172333	0.00109613351950204	99.6670885910769	pe	BSW	vg	3
(30,40]	novel	35.504995004995	1	2002	2001	22	1911448	1911470	99.9988490533464	0.00114833035376404	99.7715344564352	pe	BSW	vg	3
(20,30]	novel	25.5691747572816	13	1648	1635	35	1913083	1913118	99.9981705258118	0.00182688919917007	99.8568762804536	pe	BSW	vg	3
(10,20]	novel	15.8486980999296	4	1421	1417	39	1914500	1914539	99.9979629560954	0.00203567653621808	99.9308391946029	pe	BSW	vg	3
[0,10]	novel	3.900466562986	185	1286	1101	224	1915601	1915825	99.9883079091253	0.0116920908746885	99.9883079091253	pe	BSW	vg	3
(50,60]	ref	59.9939748157986	16	8029796	8029780	16	8029780	8029796	99.9998007421359	0.000197917536421465	99.3271422253972	pe	BSW	vg	3
(40,50]	ref	46.1933471933472	11	8658	8647	27	8038427	8038454	99.9996641145175	0.000333985842711223	99.4341042839869	pe	BSW	vg	3
(30,40]	ref	35.8036731486938	15	10182	10167	42	8048594	8048636	99.9994781724506	0.000519533533106347	99.5598685085367	pe	BSW	vg	3
(20,30]	ref	24.7741395793499	23	8368	8345	65	8056939	8057004	99.9991932485078	0.000804039991712203	99.6630948736266	pe	BSW	vg	3
