bin	mq	FP	total	TP	TP_sum	FP_sum	total_sum	FPR	TPR	mode	graph
(50,60]	59.9859914955419	459	9873645	9873186	9873186	459	9873645	0.00458970947139046	98.7256106688447	pe	major-BSW_bwa
(40,50]	45.9047413405308	71	55575	55504	9928690	530	9929220	0.00529966453123517	99.2806155370365	pe	major-BSW_bwa
(30,40]	39.7935154286656	177	48546	48369	9977059	707	9977766	0.00706955249732692	99.7642749213975	pe	major-BSW_bwa
(20,30]	25.4258701013976	406	7298	6892	9983951	1113	9985064	0.0111292955155939	99.8331905590376	pe	major-BSW_bwa
(10,20]	16.6458036984353	167	1406	1239	9985190	1280	9986470	0.0127991898112849	99.8455797748003	pe	major-BSW_bwa
[0,10]	0.606792346254325	7752	14163	6411	9991601	9032	10000633	0.0903142831058794	99.9096857168941	pe	major-BSW_bwa
(50,60]	59.9698618613254	421	9628730	9628309	9628309	421	9628730	0.00420973015629698	96.2769186495146	se	major-BSW_bwa
(40,50]	45.141357602689	65	70212	70147	9698456	486	9698942	0.00485968849396754	96.9783436881696	se	major-BSW_bwa
(30,40]	34.8374528937225	96	69789	69693	9768149	582	9768731	0.00581962696191174	97.67522901782	se	major-BSW_bwa
(20,30]	25.0438512434406	285	65745	65460	9833609	867	9834476	0.0086694442886211	98.3297870606494	se	major-BSW_bwa
(10,20]	18.208573436402	676	42690	42014	9875623	1543	9877166	0.0154290110003949	98.7499001314016	se	major-BSW_bwa
[0,10]	2.83305932374975	40496	123475	82979	9958602	42039	10000641	0.420363054728192	99.5796369452718	se	major-BSW_bwa
(50,60]	59.9941851644426	131	9933041	9932910	9932910	131	9933041	0.00131000301300693	99.3293284574554	pe	major-BSW_vg
(40,50]	46.4499428384779	16	12246	12230	9945140	147	9945287	0.00147000338100778	99.4516287387461	pe	major-BSW_vg
(30,40]	35.6408181956953	21	13102	13081	9958221	168	9958389	0.00168000386400889	99.5824390396098	pe	major-BSW_vg
(20,30]	24.8285544789401	74	10114	10040	9968261	242	9968503	0.0024200055660128	99.6828392705303	pe	major-BSW_vg
(10,20]	16.4037728276139	338	9966	9628	9977889	580	9978469	0.00580001334003068	99.7791194919748	pe	major-BSW_vg
[0,10]	2.01785382183374	7928	21508	13580	9991469	8508	9999977	0.0850801956844501	99.9149198043155	pe	major-BSW_vg
(50,60]	59.976452946509	209	9712935	9712726	9712726	209	9712935	0.00209000480701106	97.1274833932118	se	major-BSW_vg
(40,50]	45.0015125436812	50	38346	38296	9751022	259	9751281	0.0025900059570137	97.5104442740218	se	major-BSW_vg
(30,40]	36.2283037872683	86	49640	49554	9800576	345	9800921	0.00345000793501825	98.0059854137665	se	major-BSW_vg
(20,30]	24.8027887695497	343	53070	52727	9853303	688	9853991	0.0068800158240364	98.5332566264902	se	major-BSW_vg
(10,20]	15.9800699300699	1152	40040	38888	9892191	1840	9894031	0.0184000423200973	98.9221375209163	se	major-BSW_vg
[0,10]	2.75928303097805	39311	105946	66635	9958826	41151	9999977	0.411510946475177	99.5884890535248	se	major-BSW_vg
(50,60]	59.9699074649038	485	9622187	9621702	9621702	485	9622187	0.00484964646077301	96.2100062905414	se	major-pan_bwa
(40,50]	45.154313660999	73	69929	69856	9691558	558	9692116	0.00557959324765225	96.9085153692296	se	major-pan_bwa
(30,40]	34.8614537917232	144	69955	69811	9761369	702	9762071	0.00701948827930444	97.6065744807204	se	major-pan_bwa
(20,30]	25.1048259434033	370	66329	65959	9827328	1072	9828400	0.0107192185689663	98.2661164001144	se	major-pan_bwa
(10,20]	18.1806541120815	840	43968	43128	9870456	1912	9872368	0.0191186062536041	98.6973649620943	se	major-pan_bwa
[0,10]	2.82049843799908	42829	128361	85532	9955988	44741	10000729	0.447377386188547	99.5526226138115	se	major-pan_bwa
(50,60]	59.9855778750163	585	9868518	9867933	9867933	585	9868518	0.00584957941524004	98.67223546627	pe	major-pan_bwa
(40,50]	45.8785795504242	93	57165	57072	9925005	678	9925683	0.00677951255304744	99.2429144344522	pe	major-pan_bwa
(30,40]	39.7812932260516	213	51329	51116	9976121	891	9977012	0.00890935941705791	99.7540376846905	pe	major-pan_bwa
(20,30]	25.437128840692	565	7746	7181	9983302	1456	9984758	0.0145589532112641	99.8258425219227	pe	major-pan_bwa
(10,20]	16.5549872122762	209	1564	1355	9984657	1665	9986322	0.0166488029510678	99.8393915477477	pe	major-pan_bwa
[0,10]	0.677571716329791	7866	14397	6531	9991188	9531	10000719	0.0953031477036801	99.9046968522963	pe	major-pan_bwa
(50,60]	59.9763632913372	234	9706766	9706532	9706532	234	9706766	0.00234000538201238	97.0655432507495	se	major-pan_vg
(40,50]	45.0180740199023	86	38287	38201	9744733	320	9745053	0.00320000736001693	97.4475541293745	se	major-pan_vg
(30,40]	36.2297148574287	98	49975	49877	9794610	418	9795028	0.00418000961402211	97.9463252765481	se	major-pan_vg
(20,30]	24.7879479741742	517	53435	52918	9847528	935	9848463	0.00935002150504946	98.4755064936649	se	major-pan_vg
(10,20]	15.9495355138378	1469	41336	39867	9887395	2404	9889799	0.0240400552921272	98.874177410608	se	major-pan_vg
[0,10]	2.74360580152117	41444	110178	68734	9956129	43848	9999977	0.43848100850632	99.5615189914937	se	major-pan_vg
(50,60]	59.9940246638578	113	9930320	9930207	9930207	113	9930320	0.00113000259900598	99.3022983952863	pe	major-pan_vg
(40,50]	46.4751303806336	38	12847	12809	9943016	151	9943167	0.00151000347300799	99.430388689894	pe	major-pan_vg
(30,40]	35.5869126549438	37	13876	13839	9956855	188	9957043	0.00188000432400995	99.5687790081917	pe	major-pan_vg
(20,30]	24.9380729653882	161	10690	10529	9967384	349	9967733	0.00349000802701846	99.6740692503593	pe	major-pan_vg
(10,20]	16.3328825347759	448	10352	9904	9977288	797	9978085	0.00797001833104216	99.7731094781518	pe	major-pan_vg
[0,10]	2.06879225287776	8067	21892	13825	9991113	8864	9999977	0.0886402038724689	99.9113597961275	pe	major-pan_vg
(50,60]  59.9941140573475   32     9936896  9936864  9936864  32      9936896    0.00032              99.36864          pe    BSW_inf
(40,50]  46.1678858814923   14     10936    10922    9947786  46      9947832    0.00046              99.47786          pe    BSW_inf
(30,40]  35.7540740740741   16     12150    12134    9959920  62      9959982    0.00062              99.5992           pe    BSW_inf
(20,30]  24.9096480822459   36     10116    10080    9970000  98      9970098    0.00098              99.7              pe    BSW_inf
(10,20]  16.3825472772841   30     8778     8748     9978748  128     9978876    0.00128              99.78748          pe    BSW_inf
[0,10]   2.12431357697406   7182   21124    13942    9992690  7310    10000000   0.0731               99.9269           pe    BSW_inf
(50,60]  59.978413489807    45     9719635  9719590  9719590  45      9719635    0.00045              97.1959           se    BSW_inf
(40,50]  45.1010746298222   30     40386    40356    9759946  75      9760021    0.00075              97.59946          se    BSW_inf
(30,40]  35.9808253180267   40     48345    48305    9808251  115     9808366    0.00115              98.08251          se    BSW_inf
(20,30]  24.9627157245794   98     50933    50835    9859086  213     9859299    0.00213              98.59086          se    BSW_inf
(10,20]  15.9049794426679   257    41591    41334    9900420  470     9900890    0.0047               99.0042           se    BSW_inf
[0,10]   2.76114418323075   31255  99110    67855    9968275  31725   10000000   0.31725              99.68275          se    BSW_inf
(50,60]  59.9849762057656   819    9857430  9856611  9856611  819     9857430    0.00818922284275222  98.5567569637641  pe    bwa_unmodif
(40,50]  45.8177466118266   132    59324    59192    9915803  951     9916754    0.00950909758663903  99.1486207958865  pe    bwa_unmodif
(30,40]  39.7489949189947   281    58453    58172    9973975  1232    9975207    0.0123188309429435   99.7302855958969  pe    bwa_unmodif
(20,30]  25.3212105468243   527    7699     7172     9981147  1759    9982906    0.0175883308674007   99.8019987903148  pe    bwa_unmodif
(10,20]  16.5484515484515   323    2002     1679     9982826  2082    9984908    0.0208180243694873   99.818787197095   pe    bwa_unmodif
[0,10]   0.732497973941774  8703   16041    7338     9990164  10785   10000949   0.107839766006206    99.8921602339938  pe    bwa_unmodif
(50,60]  59.9701182852782   678    9608719  9608041  9608041  678     9608719    0.0067793464710002   96.0711487412613  se    bwa_unmodif
(40,50]  45.1693048372811   112    69998    69886    9677927  790     9678717    0.00789923851340731  96.7699413776512  se    bwa_unmodif
(30,40]  34.9320107253901   151    70114    69963    9747890  941     9748831    0.00940909296343832  97.4695039398202  se    bwa_unmodif
(20,30]  25.1740830636462   532    66744    66212    9814102  1473    9815575    0.0147285801648721   98.1315601176047  se    bwa_unmodif
(10,20]  18.1381421001406   1085   46235    45150    9859252  2558    9861810    0.025577534325691    98.5830165972     se    bwa_unmodif
[0,10]   2.70207108670969   49833  139154   89321    9948573  52391   10000964   0.523859499944205    99.4761405000558  se    bwa_unmodif
(50,60]  59.9937978775881   127    9925312  9925185  9925185  127     9925312    0.00127              99.25185          pe    vgref_unmodif
(40,50]  46.4293801712876   69     13778    13709    9938894  196     9939090    0.00196              99.38894          pe    vgref_unmodif
(30,40]  35.56613828915     61     14636    14575    9953469  257     9953726    0.00257              99.53469          pe    vgref_unmodif
(20,30]  24.9544169611307   133    11320    11187    9964656  390     9965046    0.0039               99.64656          pe    vgref_unmodif
(10,20]  16.5433789954338   399    10950    10551    9975207  789     9975996    0.00789              99.75207          pe    vgref_unmodif
[0,10]   1.9971671388102    8869   24004    15135    9990342  9658    10000000   0.09658              99.90342          pe    vgref_unmodif
(50,60]  59.9764417223985   214    9694342  9694128  9694128  214     9694342    0.00214              96.94128          se    vgref_unmodif
(40,50]  45.0523109243697   86     38080    37994    9732122  300     9732422    0.003                97.32122          se    vgref_unmodif
(30,40]  36.1945534546319   198    50454    50256    9782378  498     9782876    0.00498              97.82378          se    vgref_unmodif
(20,30]  24.7925509278961   671    54047    53376    9835754  1169    9836923    0.01169              98.35754          se    vgref_unmodif
(10,20]  15.9588908096332   1711   42229    40518    9876272  2880    9879152    0.0288               98.76272          se    vgref_unmodif
[0,10]   2.65819045412419   48484  120848   72364    9948636  51364   10000000   0.51364              99.48636          se    vgref_unmodif
