anims	chromosome	perfect	uniq	mapped	mapper
SAMEA6163185	26	10279313	16903241	18683273	bwa
SAMEA6163185	25	8309298	14221373	15292823	bwa
SAMEA6163185	23	10110907	17452679	19451742	bwa
SAMEA6163185	22	12488501	20006120	21333175	bwa
SAMEA6163185	27	9233937	15010304	16139287	bwa
SAMEA6163185	29	10237165	17491148	21479025	bwa
SAMEA6163185	28	9350373	17191108	23291176	bwa
SAMEA6163185	21	14484745	23538715	25672497	bwa
SAMEA6163185	18	13147751	22089232	24968318	bwa
SAMEA6163185	14	16770030	27063745	29169316	bwa
SAMEA6163185	20	14402960	23434030	25119067	bwa
SAMEA6163185	24	12578434	20443654	22229947	bwa
SAMEA6163185	10	20689925	33265527	36810701	bwa
SAMEA6163185	15	16969400	30675459	36562355	bwa
SAMEA6163185	12	17247163	28855884	32361960	bwa
SAMEA6163185	3	24636849	39440690	42390548	bwa
SAMEA6163185	11	21646745	37031080	44289961	bwa
SAMEA6163185	5	24384368	39113121	42281777	bwa
SAMEA6163185	6	23665413	38361043	41298091	bwa
SAMEA6163185	16	16449742	29302547	34089042	bwa
SAMEA6163185	4	24424642	40014167	45315404	bwa
SAMEA6163185	7	22545607	36284573	39505243	bwa
SAMEA6163185	9	21298300	34307155	37035101	bwa
SAMEA6163185	17	14596439	28820038	43264472	bwa
SAMEA6163185	2	28067913	45120972	49055271	bwa
SAMEA6163185	13	18172300	34122268	50660086	bwa
SAMEA6163185	8	23119880	40201139	50859472	bwa
SAMEA6163185	19	13242275	26472038	73677929	bwa
SAMEA6163185	1	31851834	53248866	61870686	bwa
SAMEA6163188	25	5626916	9335049	10170814	bwa
SAMEA6163188	27	6188291	9890971	10797628	bwa
SAMEA6163188	26	6828946	11070236	12265777	bwa
SAMEA6163188	23	6818403	11518192	13075084	bwa
SAMEA6163188	29	6974892	12051864	15508213	bwa
SAMEA6163188	28	6159716	11314010	15201637	bwa
SAMEA6163188	22	8341688	13242700	14235196	bwa
SAMEA6163188	24	8348711	13412418	15036584	bwa
SAMEA6163188	20	9518197	15311225	16650640	bwa
SAMEA6163188	21	9767540	15474171	17002147	bwa
SAMEA6163188	18	8927823	14967928	17721780	bwa
SAMEA6163188	14	11092894	17727339	19315389	bwa
SAMEA6163188	12	11311612	18976136	21580094	bwa
SAMEA6163188	16	10980985	19443968	22896613	bwa
SAMEA6163188	15	11206519	20779589	24537122	bwa
SAMEA6163188	3	16451084	25995637	28236957	bwa
SAMEA6163188	6	15747424	25193128	27717473	bwa
SAMEA6163188	9	14092775	22451643	24536534	bwa
SAMEA6163188	4	16193745	26087853	30010504	bwa
SAMEA6163188	7	15258082	24027613	26701684	bwa
SAMEA6163188	2	18693654	29771309	32651625	bwa
SAMEA6163188	17	9695273	19180001	28671759	bwa
SAMEA6163188	11	14420120	25137932	30083233	bwa
SAMEA6163188	5	16235481	25817436	28109980	bwa
SAMEA6163188	13	12253380	21839982	33204453	bwa
SAMEA6163188	8	15345721	26298259	33895223	bwa
SAMEA6163188	19	8800926	16271943	40747117	bwa
SAMEA6163188	10	13782690	21999243	24501951	bwa
SAMEA6163188	1	21227123	34817983	40484715	bwa
SAMEA6163187	25	4672143	7785323	8458341	bwa
SAMEA6163187	27	4882321	8005918	8767827	bwa
SAMEA6163187	29	5720046	9988680	13026468	bwa
SAMEA6163187	26	5533150	9009557	10061609	bwa
SAMEA6163187	23	5542432	9440483	10823611	bwa
SAMEA6163187	22	6763363	10768177	11611040	bwa
SAMEA6163187	24	6716467	10867535	12332400	bwa
SAMEA6163187	20	7650504	12385215	13516489	bwa
SAMEA6163187	28	4997946	9368886	12768883	bwa
SAMEA6163187	18	7240867	12199698	14364174	bwa
SAMEA6163187	21	7852904	12613898	13926077	bwa
SAMEA6163187	14	8874706	14283581	15630658	bwa
SAMEA6163187	12	8944797	15164034	17231608	bwa
SAMEA6163187	10	11058720	17727363	19849738	bwa
SAMEA6163187	16	8887625	15845965	18675606	bwa
SAMEA6163187	15	9061975	17450119	20685307	bwa
SAMEA6163187	9	11207829	18027958	19785113	bwa
SAMEA6163187	6	12562368	20181544	22399190	bwa
SAMEA6163187	7	12091770	19408939	21396871	bwa
SAMEA6163187	11	11653426	20984163	25573988	bwa
SAMEA6163187	5	12948982	20830936	22782008	bwa
SAMEA6163187	4	12823701	21009804	24574286	bwa
SAMEA6163187	2	14830200	23838052	26282122	bwa
SAMEA6163187	3	13136975	20992653	22874718	bwa
SAMEA6163187	17	7736550	16395408	25765711	bwa
SAMEA6163187	13	9911560	18104322	28311845	bwa
SAMEA6163187	1	16856192	27982934	32885358	bwa
SAMEA6163187	8	12469668	21536885	28752571	bwa
SAMEA6163187	19	7287525	13846686	37593854	bwa
SAMEA6163177	23	1998020	3632347	4032351	bwa
