anims	mode	prog	type1	type2	type3	type4	type5	type6	type7	type8	type9	type10	type11	type12	concor	recal	discre	concor_het	concor_alt	precision
SAMEA6163185	bwa	gatk4-fixed	155629	61	10	124	187074	118	17	25	201657	134515	1917	2260	99.9348283047098	98.9374799680506	0.0911928577894692	99.954050010686	99.9365661471368	99.9269951030166
SAMEA6163185	bwa_fil	gatk4-filter	155207	39	8	119	186990	115	17	15	201585	134942	2033	2337	99.9424732813204	98.8883857937231	0.0804447684104134	99.9711297876435	99.9390207626867	99.9315915759912
SAMEA6163185	graph	gatk4-fixed	155487	66	8	124	187051	106	19	34	201663	134655	1926	2268	99.9344422449032	98.9331556107264	0.0917101552717168	99.9465672104344	99.9435019848645	99.9272487962632
SAMEA6163185	graph-fil	gatk4-filter	155083	47	7	113	187005	101	18	26	201618	135071	1999	2319	99.9426489564683	98.9016132396559	0.0801780684462327	99.9609788430494	99.9464620326582	99.9336557970176
SAMEA6163185	linear	gatk4-fixed	155483	70	10	125	187042	97	17	21	201664	134660	1944	2274	99.937560717611	98.9270506356805	0.0873486154632965	99.9513714844522	99.9469695843307	99.9331561113311
SAMEA6163185	linear-fil	gatk4-filter	155073	47	9	116	186976	94	17	16	201608	135079	2038	2334	99.9450323187905	98.8878770458026	0.0768475869881211	99.966317185186	99.9489368452886	99.9375043399764
SAMEA6163188	bwa	gatk4-fixed	10398	4	9	28	13082	20	10	2	9859	2745	125	131	99.7815156231294	98.8980716253444	0.314483296620789	99.9541564792176	99.706715210356	99.7391417764445
SAMEA6163188	bwa_fil	gatk4-filter	10375	3	9	27	13077	20	9	2	9856	2770	131	134	99.7902810234286	98.8593319559229	0.301702685660941	99.9617795444122	99.7066262013151	99.7477273715802
SAMEA6163188	graph	gatk4-fixed	10393	6	8	31	13079	19	10	1	9864	2747	127	128	99.775523031337	98.9023760330578	0.323043634089537	99.9465077181721	99.7270245677889	99.7348287254391
SAMEA6163188	graph-fil	gatk4-filter	10375	4	8	30	13075	18	10	1	9859	2766	133	134	99.7872977831037	98.8507231404959	0.305986500633981	99.9617737003058	99.7369752149722	99.7434001652677
SAMEA6163188	linear	gatk4-fixed	10395	5	8	31	13078	21	10	1	9862	2745	129	128	99.7725300050881	98.8937672176309	0.327379248217289	99.9541424640783	99.7068041654029	99.7261226796505
SAMEA6163188	linear-fil	gatk4-filter	10376	4	8	29	13073	20	10	1	9857	2766	135	134	99.7842890526694	98.8421143250689	0.310336448456916	99.961767854412	99.7167425392008	99.7390169638973
SAMEA6163187	bwa	gatk4-fixed	5982	8	0	9	7931	9	1	2	5410	4996	84	52	99.8501446878875	98.9922940130409	0.213724937340907	99.874071275658	99.8339176969921	99.8428378985182
SAMEA6163187	bwa_fil	gatk4-filter	5971	8	0	8	7928	9	1	2	5403	5008	87	59	99.8551474392137	98.918197984588	0.206523588251687	99.8740236835475	99.8337028824834	99.8501984870047
