anims	mode	prog	type1	type2	type3	type4	type5	type6	type7	type8	type9	type10	type11	type12	concor	recal	precision	discre	concor_het	concor_alt
SAMEA6163185	bwa	graphfil	141106	52	34	89	185391	139	19	15	194921	149071	3619	8951	99.9333034348731	96.8025193197023	99.9311566213141	0.0913489654470735	99.9638732219694	99.9113247972772
SAMEA6163185	bwa	graphtyper	147997	97	59	144	187142	209	20	31	201626	142124	1807	2151	99.8957800214023	98.9931878653446	99.8961898594966	0.143727269479919	99.9316494900411	99.8672570754951
SAMEA6163185	graph	graphfil	140676	49	33	83	185336	140	18	18	194719	149508	3674	9153	99.9345579881475	96.7371452119189	99.9318983787081	0.0895735753717738	99.9638625049217	99.9112328879585
SAMEA6163185	graph	graphtyper	147648	99	58	141	187135	210	21	32	201530	142475	1811	2247	99.8955062081606	98.96775046932	99.8961623773675	0.144021638292384	99.9300460307797	99.8671939265999
SAMEA6163185	linear	graphfil	140695	52	33	86	185293	136	18	18	194800	149486	3714	9076	99.9341816165225	96.7465570484481	99.9321679185805	0.0900894653489598	99.9622362607424	99.9133195533649
SAMEA6163185	linear	graphtyper	147677	100	58	140	187146	210	20	33	201669	142448	1798	2108	99.8955410359871	99.0064153112774	99.896459053795	0.143966184915353	99.9289829612503	99.8672853414679
SAMEA6163188	bwa	graphfil	9711	3	8	23	12927	15	9	2	9594	3438	281	402	99.8141954663694	97.0600895316804	99.7828976517501	0.262262992936846	99.9613362202289	99.7608401788499
SAMEA6163188	bwa	graphtyper	10049	8	9	31	13079	20	9	4	9867	3092	122	123	99.7551094449147	98.9454201101928	99.7218600608431	0.347258007221711	99.908333969903	99.7069523039612
SAMEA6163188	graph	graphfil	9698	2	8	23	12925	16	9	3	9599	3451	283	396	99.8110460613945	97.0773071625344	99.7740863787375	0.266587371405581	99.9613302397525	99.7505975267588
SAMEA6163188	graph	graphtyper	10036	6	9	32	13084	21	9	4	9866	3104	119	123	99.7550427919073	98.9583333333333	99.7132429614181	0.347198340992248	99.923629143119	99.6968472109943
SAMEA6163188	linear	graphfil	9700	2	8	22	12925	15	9	3	9598	3450	283	398	99.8172356111765	97.0686983471074	99.78291688818	0.257880589551133	99.9613302397525	99.760939611267
SAMEA6163188	linear	graphtyper	10038	6	9	32	13083	20	9	4	9874	3102	120	116	99.7581254724112	98.9841597796143	99.7176613673877	0.342823283898549	99.9236233101657	99.7071594466323
SAMEA6163187	bwa	graphfil	5571	7	1	6	7789	5	1	5	5243	5410	224	222	99.8657934292463	96.6953171310018	99.8697218177638	0.187217052757351	99.8461735674913	99.8856925128596
SAMEA6163187	bwa	graphtyper	5769	13	1	8	7926	8	1	11	5412	5210	75	50	99.7806673977753	99.0737996443391	99.7905132425557	0.30704644798382	99.6981132075472	99.8339789706696
SAMEA6163187	graph	graphfil	5562	5	1	4	7782	5	1	6	5250	5421	232	215	99.881822088526	96.6879075281565	99.8773758430411	0.164788015956486	99.8588476838188	99.8858447488584
SAMEA6163187	graph	graphtyper	5756	12	1	7	7925	8	1	12	5412	5224	76	50	99.7857217518553	99.0663900414938	99.7904975682753	0.299779865556158	99.6980752295886	99.8339789706696
SAMEA6163187	linear	graphfil	5558	6	1	4	7784	5	1	6	5244	5425	229	221	99.8764038905906	96.6656787196206	99.8773382398037	0.172317459114315	99.8460749102104	99.8857142857143
